titles,links,content,time,media
黃昆輝：挺台商 就投蔡,https://news.ltn.com.tw/news/focus/paper/553669,"昨與台灣投資中國受害者協會等台商召開記者會，呼籲台灣人真正挺台商，就要把票投給民進黨候選人蔡英文。
台灣投資中國受害者協會理事長高為邦表示，台商現在被掐著脖子不敢講真話，事實上台商心裡明白，如果台灣有...",2012/1/12,Liberal Times
蔡：再次政黨輪替 走向真正民主,https://news.ltn.com.tw/news/focus/paper/553667,〔記者劉榮、黃良傑、李立法／綜合報導〕民進黨總統候選人蔡英文昨晚表示，第三次的政黨輪替就在眼前，只有再次的政黨輪替，才能讓台灣走向真正的民主。她說出人民期待改變的心情，人民相信台灣將再創第三次政黨輪替，...,2012/1/12,Liberal Times
蔡馬之戰 曾道雄：雅典娜戰賈寶玉,https://news.ltn.com.tw/news/focus/paper/553666,"今與多位藝文人士 現身支持小英
〔記者趙靜瑜／台北報導〕民進黨總統候選人蔡英文今天在台中的造勢會場，將有歌劇導演曾道雄等藝文界人士站出來力挺。針對蔡馬之戰，曾道雄比喻說這是一場雅典娜與賈寶玉的戰爭。雅...",2012/1/12,Liberal Times
繼親筆信後 李再以錄音方式挺蔡,https://news.ltn.com.tw/news/focus/paper/553665,〔記者李欣芳、王寓中、廖淑玲／綜合報導〕據透露，李登輝繼以親筆信刊登廣告挺民進黨總統候選人蔡英文後，昨進一步以錄音方式挺小英，呼籲選民為了國家未來的發展，「支持蔡英文，拜託！拜託！」李登輝以錄音...,2012/1/12,Liberal Times
大聯合政府 蔡︰就是客家團結精神,https://news.ltn.com.tw/news/focus/paper/553664,"狂掃竹苗 民眾夾道歡迎
〔記者劉榮、蔡孟尚、王錦義／綜合報導〕選前三天，民進黨總統候選人蔡英文掃街車隊昨天搶進苗栗、新竹客家庄，沿路受到支持者夾道歡迎。她向鄉親喊話強調，當選後，一定會發揮客家人硬頸、...",2012/1/12,Liberal Times
【冷眼冷語】,https://news.ltn.com.tw/news/opinion/paper/553662,"，以防大黨愈大、小黨不見。（胡朝偉，大學生） 
這樣的詩人鄭愁予
鄭愁予投書媒體，把挺蔡英文的數十位頂尖科學家痛罵一番，文中充滿誤解與偏見，讓人吃驚。
他說何大一，「有祿位之思，如果蔡英文...",2012/1/12,Liberal Times
我對國民黨忍無可忍了,https://news.ltn.com.tw/news/opinion/paper/553660,中國，債留台灣，目前國民每人要負擔國債八十萬。國民黨官商勾結的惡行，喚起台灣人民的覺醒，讓蔡英文有擊潰馬英九的氣勢。這些奸商深怕當人民勝利時，他們與國民黨勾結竊取台灣人民的財富將被追討而恫嚇造謠，做困獸...,2012/1/12,Liberal Times
台灣共產 軍公教最慘,https://news.ltn.com.tw/news/opinion/paper/553656,迫利用。像最近國民黨會被舉發「動員公務人員參加國民黨一月八日之遊行」與「國安會及調查局監控蔡英文甚至民進黨初選」，據聞是因具有正義感且有是非觀之公務人員看不慣國民黨作風而密報媒體等，真令人讚賞該等公務人...,2012/1/12,Liberal Times
兒子臉書PO文掀波／陳定南妻聲明 籲續支持民進黨,https://news.ltn.com.tw/news/politics/paper/553652,"生會有不同體悟。
感動陳歐珀坦然面對「點燈」事件
張昭義也說，請大家繼續支持民進黨，讓蔡英文公平正義理念得到順利施展。
張昭義昨晚透過陳歐珀競選總部發出聲明，她說，這幾天，小乖臉書PO文造成軒然大...",2012/1/12,Liberal Times
批選擇性查賄 蘇：黑狗偷吃 白狗受災,https://news.ltn.com.tw/news/politics/paper/553651,"住處，是用司法在打壓百姓，用國家機器在影響選情，大家一定要用選票讓馬下台，才能讓司法改變，蔡英文當選一定推動司法改革，台灣司法才會清明。
蘇嘉全說，民間都知道選舉時是哪個陣營會買票，會進行賄選，但他看...",2012/1/12,Liberal Times
